Centro,APROVADO,EDUCACAO  JOVENS E ADULTOS,45
Centro,APROVADO,ENSINO FUNDAMENTAL,501
Centro,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,3
Centro,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,21
Centro,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,49
Centro,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,72
Centro,FALECIDO,EDUCACAO INFANTIL,1
Centro,REMANEJADO,CORREÇÃO DE FLUXO,1
Centro,REMANEJADO,EDUCACAO INFANTIL,2
Centro,REMANEJADO,ENSINO FUNDAMENTAL,7
Centro,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,284
Centro,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,184
Centro,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,1617
Centro,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,3806
Centro,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,12
Centro,REPROV P/  FALTA,ENSINO FUNDAMENTAL,26
Centro,RETIDO,EDUCACAO  JOVENS E ADULTOS,9
Centro,RETIDO,EDUCACAO INFANTIL,1
Centro,RETIDO,ENSINO FUNDAMENTAL,49
Centro,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,7
Centro,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,11
Centro,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,44
Centro,TR DUR ANO FORA REDE,ENSINO FUNDAMENTAL,189
Centro,TR DUR ANO P/REDE,CORREÇÃO DE FLUXO,5
Centro,TR DUR ANO P/REDE,EDUCACAO  JOVENS E ADULTOS,5
Centro,TR DUR ANO P/REDE,EDUCACAO INFANTIL,18
Centro,TR DUR ANO P/REDE,ENSINO FUNDAMENTAL,75
Nordeste,APROVADO,EDUCACAO  JOVENS E ADULTOS,206
Nordeste,APROVADO,ENSINO FUNDAMENTAL,1575
Nordeste,DESIST/DEIXOU FREQUE,CORREÇÃO DE FLUXO,3
Nordeste,DESIST/DEIXOU FREQUE,EDUCACAO  JOVENS E ADULTOS,64
Nordeste,DESIST/DEIXOU FREQUE,EDUCACAO INFANTIL,121
Nordeste,DESIST/DEIXOU FREQUE,ENSINO FUNDAMENTAL,51
Nordeste,FALECIDO,EDUCACAO  JOVENS E ADULTOS,7
Nordeste,FALECIDO,ENSINO FUNDAMENTAL,1
Nordeste,REMANEJADO,CORREÇÃO DE FLUXO,2
Nordeste,REMANEJADO,EDUCACAO  JOVENS E ADULTOS,35
Nordeste,REMANEJADO,EDUCACAO INFANTIL,4
Nordeste,REMANEJADO,ENSINO FUNDAMENTAL,61
Nordeste,RENV S/SIT FINAL DEF,CORREÇÃO DE FLUXO,697
Nordeste,RENV S/SIT FINAL DEF,EDUCACAO  JOVENS E ADULTOS,1369
Nordeste,RENV S/SIT FINAL DEF,EDUCACAO INFANTIL,3015
Nordeste,RENV S/SIT FINAL DEF,EJA ESPECIAL,29
Nordeste,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL,11150
Nordeste,RENV S/SIT FINAL DEF,ENSINO FUNDAMENTAL  ESPECIAL,8
Nordeste,REPROV P/  FALTA,EDUCACAO  JOVENS E ADULTOS,162
Nordeste,REPROV P/  FALTA,ENSINO FUNDAMENTAL,73
Nordeste,RETIDO,EDUCACAO  JOVENS E ADULTOS,94
Nordeste,RETIDO,ENSINO FUNDAMENTAL,157
Nordeste,TR DUR ANO FORA REDE,CORREÇÃO DE FLUXO,23
Nordeste,TR DUR ANO FORA REDE,EDUCACAO  JOVENS E ADULTOS,77
Nordeste,TR DUR ANO FORA REDE,EDUCACAO INFANTIL,70
