Centro,APROVADO,546
Centro,DESIST/DEIXOU FREQUE,145
Centro,FALECIDO,1
Centro,REMANEJADO,10
Centro,RENV S/SIT FINAL DEF,5891
Centro,REPROV P/  FALTA,38
Centro,RETIDO,59
Centro,TR DUR ANO FORA REDE,251
Centro,TR DUR ANO P/REDE,103
Nordeste,APROVADO,1781
Nordeste,DESIST/DEIXOU FREQUE,239
Nordeste,FALECIDO,8
Nordeste,REMANEJADO,102
Nordeste,RENV S/SIT FINAL DEF,16268
Nordeste,REPROV P/  FALTA,235
Nordeste,RETIDO,251
Nordeste,TR DUR ANO FORA REDE,633
Nordeste,TR DUR ANO P/REDE,231
Norte,APROVADO,1293
Norte,DESIST/DEIXOU FREQUE,96
Norte,FALECIDO,6
Norte,REMANEJADO,18
Norte,RENV S/SIT FINAL DEF,10790
Norte,REPROV P/  FALTA,184
Norte,RETIDO,181
Norte,TR DUR ANO FORA REDE,468
Norte,TR DUR ANO P/REDE,136
Oeste,APROVADO,1027
Oeste,DESIST/DEIXOU FREQUE,320
Oeste,FALECIDO,4
Oeste,REMANEJADO,56
Oeste,RENV S/SIT FINAL DEF,12698
Oeste,REPROV P/  FALTA,142
Oeste,RETIDO,187
Oeste,TR DUR ANO FORA REDE,487
Oeste,TR DUR ANO P/REDE,222
Sudoeste,APROVADO,961
Sudoeste,DESIST/DEIXOU FREQUE,272
Sudoeste,FALECIDO,7
Sudoeste,REMANEJADO,49
Sudoeste,RENV S/SIT FINAL DEF,12653
Sudoeste,REPROV P/  FALTA,102
Sudoeste,RETIDO,112
Sudoeste,TR DUR ANO FORA REDE,676
Sudoeste,TR DUR ANO P/REDE,240
Sul,APROVADO,2826
Sul,DESIST/DEIXOU FREQUE,521
Sul,FALECIDO,12
Sul,REMANEJADO,82
Sul,RENV S/SIT FINAL DEF,20319
Sul,REPROV P/  FALTA,205
Sul,RETIDO,341
Sul,TR DUR ANO FORA REDE,1079
Sul,TR DUR ANO P/REDE,432
